carr_way_no,road_id,start_name,end_name,location,latitude,longitude,cway_width,Shape__Length,traff_manage_level__0,traff_manage_level__1,traff_manage_level__2,traff_manage_level__3,traff_manage_level__4,traff_manage_level__5,traff_manage_level__6,traff_manage_level__7,count_Dayofyear,count_Week,count_Year,count_Month,count_Is_month_end,count_Is_month_start,count_Is_quarter_end,count_Is_quarter_start,count_Is_year_end,count_Is_year_start,count_Elapsed,adt,predicted_adt,rmse
31,3332,1983,2168,166,-37.09189356978278,174.85884001709417,7.9,1504.27402328651,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,470.0,1302.7591411366413,832.7591411366413
26,3333,1822,4464,1592,-37.15286976555753,174.78355011132348,8.0,2695.83364284492,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,1722.0,3198.3565050505053,1476.3565050505053
251,3273,2214,3723,3176,-37.13694186387549,174.79442247816982,8.3,1136.5752592178999,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,5571.0,5316.834761904762,254.16523809523824
425,3196,3298,4103,1109,-37.06450486094102,174.92426869653525,11.0,113.704131414758,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,3113.0,6074.851818181818,2961.851818181818
231,3337,1983,415,221,-37.09385628274955,174.90496145087533,7.6,2562.13629085972,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,2518.0,2159.509817248111,358.4901827518888
1,3344,2212,2473,717,-37.12370608922782,174.7743785719421,5.6,1175.78863483871,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,306.0,363.5833333333333,57.583333333333314
115,3272,1983,3720,48,-37.11286262129619,174.83306320231705,6.7,99.9617424479549,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,905.0,2148.21835978836,1243.21835978836
93,3291,376,2247,337,-37.114641192913794,174.89081797644886,5.3,587.648440346633,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,555.0,559.76,4.759999999999991
5024,2798,653,2982,539,-36.88988228511571,174.93061379998244,8.8,166.67658492991995,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,3951.0,4752.4028240740745,801.4028240740745
1414,299,2164,4195,116,-36.35165060724882,174.7186591261016,6.0,237.04329950533798,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,8214.0,7103.176666666666,1110.8233333333337
976,336,3777,1544,1455,-36.38329924664123,174.6613406468148,7.5,2489.25774908348,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,8085.0,7849.1466666666665,235.85333333333347
975,336,3269,3484,3170,-36.36524617817135,174.70782378108711,7.1,1901.0955384899398,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,9490.0,8406.976666666667,1083.0233333333326
973,337,2163,4195,348,-36.350153325122704,174.71496004417725,6.0,699.4038547438049,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,5901.0,5013.024444444445,887.9755555555548
3224,1448,3804,803,258,-36.88902268292463,174.69328824046582,9.7,630.444800042717,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,2090.0,3572.9292760270773,1482.9292760270773
3232,1498,927,4027,219,-36.92012405081969,174.71055643846069,7.0,597.380848228927,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,771.0,2836.061658272006,2065.061658272006
2814,2355,3000,696,155,-36.885846357846496,174.61654564643422,10.0,283.997424803776,0,1,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,458.0,1611.9866666666667,1153.9866666666667
2929,2446,3383,1849,463,-36.82072444608545,174.6210606006595,8.0,101.98619222985201,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,631.0,5049.67935573239,4418.67935573239
3018,2528,663,3035,357,-36.903720559395936,174.62445375633774,5.6,213.573469082364,0,1,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,318.0,577.6521746031746,259.65217460317456
5792,2607,779,4563,53,-36.94129119373246,174.78620698878933,12.6,231.21160835580503,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,8348.0,7864.506666666667,483.4933333333329
4745,2607,4108,3563,288,-36.94162835225189,174.78356484750785,12.3,244.223167764953,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,7532.0,8784.994722222224,1252.9947222222236
